id,visitorReviewsTotal,ratingReviewsTotal,avgRating,rating_total_count,Counts_per_Scores,imageReviewCount,authorCount,maxSingleReviewScoreCount,themes,review_menus,votedKeywords_totalCount,votedKeywords_reviewCount,votedKeywords_userCount,votedKeywords
1584252354,105,59.0,4.47,105,"[{'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 47, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 23, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}]",11,73,47.0,"{'맛': 31, '만족도': 10, '가격': 5, '음식량': 2}","{'막국수': 5, '우동': 3, '만두': 2, '냉모밀': 2, '메밀소바': 2, '갓김치': 2, '고기만두': 1, '쫄면': 1, '메밀막국수': 1}",82.0,31.0,27.0,"{'음식이 맛있어요': 21, '가성비가 좋아요': 14, '재료가 신선해요': 10, '양이 많아요': 10, '친절해요': 9, '매장이 청결해요': 8, '혼밥하기 좋아요': 4, '특별한 메뉴가 있어요': 4, '화장실이 깨끗해요': 2}"
21440506,102,59.0,4.08,102,"[{'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 17, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 15, 'score': None, '__typename': 'VisitorReviewScore'}]",17,73,17.0,"{'맛': 22, '만족도': 17, '서비스': 3, '가격': 2, '주차': 2, '음식량': 2, '위치': 1, '메뉴': 1, '목적': 1}","{'전복': 16, '전복뚝배기': 11, '고등어구이': 3, '해물뚝배기': 2, '오분자기': 2, '고등어': 2, '갈치': 2, '조개': 1, '바지락': 1, '새우': 1, '가리비': 1, '갈치구이': 1, '오분자기뚝배기': 1, '갈치조림': 1, '성게미역국': 1, '미역국': 1}",125.0,55.0,54.0,"{'음식이 맛있어요': 34, '재료가 신선해요': 17, '친절해요': 15, '주차하기 편해요': 13, '양이 많아요': 9, '매장이 넓어요': 8, '매장이 청결해요': 8, '단체모임 하기 좋아요': 7, '특별한 메뉴가 있어요': 6, '혼밥하기 좋아요': 3, '가성비가 좋아요': 3, '뷰가 좋아요': 2}"
1609172385,102,26.0,0.0,102,[],49,70,,"{'맛': 62, '만족도': 46, '서비스': 31, '음식량': 9, '청결도': 7, '메뉴': 4, '위치': 4, '분위기': 3, '목적': 2, '가격': 2, '배달': 1}","{'돈까스': 28, '파스타': 14, '냉모밀': 6, '로제파스타': 5, '쫄면': 4, '크림파스타': 4, '치즈': 4, '고기': 2, '메밀소바': 1, '맥주': 1, '떡볶이': 1, '등심': 1, '등심돈까스': 1, '고로케': 1, '치즈돈까스': 1}",375.0,99.0,88.0,"{'음식이 맛있어요': 84, '친절해요': 51, '매장이 청결해요': 40, '재료가 신선해요': 39, '양이 많아요': 38, '가성비가 좋아요': 31, '매장이 넓어요': 25, '특별한 메뉴가 있어요': 24, '화장실이 깨끗해요': 15, '인테리어가 멋져요': 14, '혼밥하기 좋아요': 13, '단체모임 하기 좋아요': 1}"
1402700112,186,95.0,4.6,186,"[{'count': 21, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 76, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 8, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}]",26,121,76.0,"{'만족도': 45, '맛': 41, '가격': 8, '서비스': 8, '음식량': 5, '목적': 2, '분위기': 2, '예약': 2, '청결도': 2, '메뉴': 1, '대기시간': 1}","{'회정식': 7, '튀김': 4, '매운탕': 4, '대구탕': 3, '생선구이': 2, '고등어': 2, '해물뚝배기': 1, '갈치구이': 1, '갈치': 1, '덮밥': 1, '식혜': 1, '참치': 1, '전복죽': 1, '전복': 1, '고등어구이': 1, '라면': 1, '숙성회': 1, '회초밥': 1, '과메기': 1, '초밥': 1}",185.0,76.0,67.0,"{'음식이 맛있어요': 41, '재료가 신선해요': 21, '가성비가 좋아요': 21, '친절해요': 19, '매장이 넓어요': 15, '주차하기 편해요': 14, '매장이 청결해요': 11, '양이 많아요': 10, '인테리어가 멋져요': 7, '단체모임 하기 좋아요': 7, '특별한 메뉴가 있어요': 6, '화장실이 깨끗해요': 5, '뷰가 좋아요': 5, '특별한 날 가기 좋아요': 3}"
1023103834,143,77.0,4.5,143,"[{'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 21, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 35, 'score': None, '__typename': 'VisitorReviewScore'}]",6,81,35.0,"{'맛': 43, '만족도': 24, '서비스': 8, '가격': 3, '배달': 2, '음식량': 2, '위치': 1}","{'갈비': 12, '고기': 8, '양념갈비': 4, '찌개': 2, '미역국': 2, '김가루밥': 1, '생고기': 1, '김치찌개': 1, '가브리살': 1, '갈매기살': 1, '돼지고기': 1, '청국장': 1, '된장찌개': 1, '돼지갈비': 1}",209.0,79.0,55.0,"{'음식이 맛있어요': 68, '친절해요': 28, '재료가 신선해요': 21, '특별한 메뉴가 있어요': 15, '매장이 넓어요': 14, '단체모임 하기 좋아요': 14, '양이 많아요': 13, '매장이 청결해요': 12, '가성비가 좋아요': 11, '주차하기 편해요': 7, '화장실이 깨끗해요': 6}"
21856890,275,194.0,4.21,275,"[{'count': 29, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 16, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 17, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 66, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 71, 'score': None, '__typename': 'VisitorReviewScore'}]",8,205,71.0,"{'맛': 37, '만족도': 18, '서비스': 8, '청결도': 3, '음식량': 2, '주차': 1}","{'샤브샤브': 11, '월남쌈': 7, '고기': 5, '오리': 1, '오리고기': 1, '해물샤브샤브': 1, '볶음밥': 1, '소고기': 1, '샐러드': 1, '튀김': 1}",138.0,70.0,64.0,"{'음식이 맛있어요': 47, '매장이 넓어요': 18, '재료가 신선해요': 17, '친절해요': 13, '매장이 청결해요': 11, '가성비가 좋아요': 9, '인테리어가 멋져요': 5, '주차하기 편해요': 4, '특별한 메뉴가 있어요': 4, '단체모임 하기 좋아요': 4, '양이 많아요': 3, '혼밥하기 좋아요': 1, '특별한 날 가기 좋아요': 1, '뷰가 좋아요': 1}"
1351622065,191,103.0,4.1,191,"[{'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 12, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 41, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 23, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}]",23,134,41.0,"{'맛': 37, '만족도': 20, '가격': 5, '서비스': 1, '배달': 1, '음식량': 1, '분위기': 1}","{'순두부': 33, '찌개': 11, '순두부찌개': 9, '오징어젓': 7, '오징어': 7, '비빔밥': 4, '냄비우동': 4, '우동': 4, '두부': 4, '소고기': 1, '계란후라이': 1, '밥집': 1, '김밥': 1, '쫄면': 1, '고기': 1, '돼지고기': 1, '김치찌개': 1}",158.0,96.0,85.0,"{'음식이 맛있어요': 67, '혼밥하기 좋아요': 18, '친절해요': 14, '가성비가 좋아요': 14, '특별한 메뉴가 있어요': 13, '매장이 넓어요': 12, '재료가 신선해요': 6, '양이 많아요': 6, '매장이 청결해요': 6, '주차하기 편해요': 2}"
1190779308,197,125.0,4.42,197,"[{'count': 45, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 59, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 17, 'score': None, '__typename': 'VisitorReviewScore'}]",15,150,59.0,"{'만족도': 30, '맛': 18, '분위기': 6, '서비스': 4, '목적': 3, '가격': 2, '메뉴': 2, '주차': 1}","{'커피': 8, '라떼': 4, '빙수': 1, '스무디': 1, '바닐라라떼': 1, '미숫가루': 1, '토피넛라떼': 1, '더치커피': 1, '에스프레소': 1, '아메리카노': 1, '더치라떼': 1}",149.0,69.0,59.0,"{'커피가 맛있어요': 30, '친절해요': 16, '음료가 맛있어요': 15, '대화하기 좋아요': 14, '좌석이 편해요': 13, '가성비가 좋아요': 12, '집중하기 좋아요': 11, '디저트가 맛있어요': 10, '인테리어가 멋져요': 8, '매장이 청결해요': 8, '주차하기 편해요': 6, '특별한 메뉴가 있어요': 2, '뷰가 좋아요': 2, '사진이 잘 나와요': 1, '화장실이 깨끗해요': 1}"
19646625,171,125.0,4.33,171,"[{'count': 19, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 48, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 34, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}]",4,119,48.0,"{'맛': 24, '만족도': 17, '서비스': 3, '목적': 1, '분위기': 1, '가격': 1}","{'닭갈비': 7, '목살': 4, '소금구이': 4, '국수': 3, '막국수': 3, '양념돼지갈비': 1, '갈비': 1, '돼지갈비': 1, '닭목살': 1, '양념닭갈비': 1, '고기': 1, '맥주': 1}",105.0,58.0,46.0,"{'음식이 맛있어요': 48, '가성비가 좋아요': 9, '주차하기 편해요': 8, '특별한 메뉴가 있어요': 8, '친절해요': 7, '단체모임 하기 좋아요': 7, '재료가 신선해요': 6, '양이 많아요': 6, '매장이 청결해요': 4, '인테리어가 멋져요': 1, '뷰가 좋아요': 1}"
1757129086,891,90.0,4.77,891,"[{'count': 25, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 26, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 8, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 335, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 12, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5, 'score': None, '__typename': 'VisitorReviewScore'}]",422,547,335.0,"{'맛': 622, '만족도': 328, '서비스': 83, '음식량': 63, '메뉴': 26, '가격': 16, '분위기': 12, '목적': 11, '예약': 9, '청결도': 6, '전망': 4, '대기시간': 4, '주차': 1, '위치': 1}","{'고기': 102, '돌문어': 101, '흑돼지': 74, '문어': 35, '덮밥': 30, '라면': 23, '해물라면': 17, '미역국': 14, '뿔소라': 11, '물회': 10, '새우': 10, '오겹살': 9, '숯불구이': 7, '새우장': 7, '흑돼지구이': 6, '한치물회': 6, '계란찜': 6, '국수': 6, '소라': 6, '물회국수': 5, '명란': 5, '연어': 5, '밥집': 4, '돼지고기': 4, '게장': 3, '흑돼지오겹살': 3, '소라무침': 3, '막걸리': 3, '장어': 3, '스테이크': 3, '생선구이': 2, '맥주': 2, '양념게장': 2, '오징어': 2, '김치전': 2, '한치': 2, '털게탕': 2, '문어숙회': 2, '튀김': 1, '대게': 1, '누룽지': 1, '돌솥밥': 1, '된장찌개': 1, '해물된장찌개': 1, '찌개': 1, '커피': 1, '딱새우회': 1, '조개': 1, '무생채': 1, '해물탕': 1, '돼지구이': 1, '낙지': 1, '간장게장': 1, '삼겹살': 1, '부침개': 1, '새우덮밥': 1, '꽃게': 1, '두루치기': 1, '간장새우': 1, '참소라': 1, '꽃게탕': 1, '생선': 1, '회': 1, '생굴': 1}",3075.0,726.0,713.0,"{'음식이 맛있어요': 596, '친절해요': 353, '재료가 신선해요': 320, '양이 많아요': 274, '반찬이 잘 나와요': 273, '매장이 넓어요': 224, '가성비가 좋아요': 213, '매장이 청결해요': 206, '인테리어가 멋져요': 120, '화장실이 깨끗해요': 98, '주차하기 편해요': 70, '뷰가 좋아요': 69, '단체모임 하기 좋아요': 66, '특별한 날 가기 좋아요': 57, '특별한 메뉴가 있어요': 52, '비싼 만큼 가치있어요': 49, '혼밥하기 좋아요': 18, '차분한 분위기에요': 17}"
