id,theme_만족도,theme_맛,theme_서비스,theme_음식량,theme_위치,theme_목적,theme_예약,theme_가격,theme_전망,theme_메뉴,theme_분위기,theme_주차,theme_대기시간,theme_배달,theme_청결도,theme_방역,theme_재료,theme_부대・공용시설,theme_작품관람,theme_혼잡도,theme_편의시설,theme_공연・전시공간,theme_작가・출연진,theme_좌석,theme_메인시설,theme_평판,theme_관리,theme_소음,theme_사이즈,theme_성능,theme_향기,theme_비품,theme_음식・조식,theme_편의・부대시설,theme_케이스,theme_내부공간,theme_아이만족도,theme_입장,theme_사용성,theme_즐길거리,theme_시설물관리,theme_사용감,theme_건강,theme_디자인,theme_포장,theme_인기도,theme_용량
12883219,424.0,388.0,259.0,59.0,48.0,43.0,33.0,32.0,24.0,21.0,14.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207652081,13.0,12.0,8.0,1.0,,1.0,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35269176,9.0,10.0,3.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11710933,39.0,41.0,19.0,7.0,1.0,3.0,,4.0,6.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480037450,27.0,38.0,24.0,3.0,,3.0,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12906165,4.0,3.0,3.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16696404,5.0,5.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16776129,4.0,4.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760792378,222.0,422.0,151.0,19.0,4.0,13.0,,47.0,,8.0,8.0,3.0,2.0,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114006621,45.0,69.0,30.0,3.0,2.0,1.0,,4.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361973803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
