id,visitorReviewsTotal,ratingReviewsTotal,avgRating,rating_total_count,Counts_per_Scores,imageReviewCount,authorCount,maxSingleReviewScoreCount,votedKeywords_totalCount,votedKeywords_reviewCount,votedKeywords_userCount
19873758,2930,1718,4.26,2930,"[{'count': 468, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 21, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 32, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 26, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 136, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 6, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 901, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 123, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 33, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 207, 'score': None, '__typename': 'VisitorReviewScore'}]",357,2314,901.0,1821,1017,988
19873447,2711,1357,4.46,2711,"[{'count': 9, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 17, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 81, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 77, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 18, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1002, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 213, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 359, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 9, 'score': None, '__typename': 'VisitorReviewScore'}]",542,2070,1002.0,2111,1004,964
1927504039,2058,729,4.53,2058,"[{'count': 15, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 178, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 132, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 14, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 44, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 785, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 51, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 8, 'score': None, '__typename': 'VisitorReviewScore'}]",355,1578,785.0,2322,888,853
37060300,6087,3343,4.38,6087,"[{'count': 201, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 474, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1963, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 32, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 50, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 17, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 990, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 248, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 21, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 23, 'score': None, '__typename': 'VisitorReviewScore'}]",1033,4801,1963.0,4937,2257,2190
13434137,2486,1219,4.53,2486,"[{'count': 65, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 930, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 186, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 13, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 8, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 7, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 298, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 54, 'score': None, '__typename': 'VisitorReviewScore'}]",528,1906,930.0,2155,991,963
13418405,13012,7249,4.41,13012,"[{'count': 421, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4497, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 466, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 66, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 53, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1872, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 97, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 31, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 82, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 939, 'score': None, '__typename': 'VisitorReviewScore'}]",1949,9894,4497.0,8397,4685,4510
1011125170,7399,3869,4.31,7399,"[{'count': 2359, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 64, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 280, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 103, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 38, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 71, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 953, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 473, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 235, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 19, 'score': None, '__typename': 'VisitorReviewScore'}]",921,5531,2359.0,4341,2871,2735
1000671392,5183,2859,4.39,5183,"[{'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 46, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 27, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 730, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 201, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1585, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 168, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 364, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 15, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 12, 'score': None, '__typename': 'VisitorReviewScore'}]",768,3792,1585.0,3852,2147,2045
16886040,9189,5295,4.5,9189,"[{'count': 8, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 38, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 21, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 239, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1365, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 257, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3116, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 725, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 17, 'score': None, '__typename': 'VisitorReviewScore'}]",896,6432,3116.0,6102,3697,3351
1296235294,3165,1592,4.63,3165,"[{'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 65, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 61, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 14, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 313, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 204, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1294, 'score': None, '__typename': 'VisitorReviewScore'}]",619,2364,1294.0,3050,1341,1281
