id,theme_맛,theme_만족도,theme_서비스,theme_가격,theme_음식량,theme_대기시간,theme_메뉴,theme_청결도,theme_주차,theme_분위기,theme_방역,theme_목적,theme_위치,theme_예약,theme_배달,theme_전망
19873758,685.0,341.0,59.0,46.0,33.0,17.0,10.0,10.0,7.0,4.0,3.0,2.0,1.0,,,
19873447,800.0,412.0,84.0,66.0,58.0,54.0,3.0,3.0,10.0,4.0,,10.0,,55.0,2.0,
1927504039,955.0,544.0,115.0,25.0,113.0,4.0,10.0,20.0,16.0,15.0,1.0,18.0,5.0,1.0,,1.0
37060300,1552.0,722.0,165.0,15.0,97.0,106.0,3.0,26.0,40.0,15.0,4.0,13.0,13.0,6.0,4.0,1.0
13434137,763.0,417.0,83.0,20.0,24.0,30.0,1.0,8.0,4.0,13.0,1.0,13.0,1.0,,13.0,
13418405,2798.0,1590.0,284.0,24.0,82.0,273.0,15.0,26.0,36.0,18.0,5.0,19.0,17.0,5.0,89.0,4.0
1011125170,1689.0,939.0,148.0,24.0,15.0,76.0,2.0,5.0,21.0,4.0,4.0,15.0,3.0,406.0,8.0,2.0
1000671392,980.0,501.0,78.0,25.0,1.0,123.0,27.0,2.0,33.0,16.0,4.0,10.0,3.0,1.0,,23.0
16886040,2170.0,868.0,73.0,65.0,23.0,12.0,29.0,6.0,16.0,6.0,,20.0,13.0,,2.0,4.0
1296235294,1044.0,564.0,327.0,8.0,45.0,56.0,3.0,9.0,31.0,2.0,1.0,17.0,3.0,10.0,,
11840561,524.0,344.0,188.0,39.0,24.0,15.0,2.0,12.0,4.0,7.0,9.0,4.0,2.0,,,2.0
1649804520,376.0,679.0,31.0,43.0,5.0,2.0,4.0,8.0,10.0,112.0,1.0,14.0,8.0,,,187.0
1519617703,441.0,554.0,29.0,12.0,4.0,2.0,26.0,5.0,33.0,290.0,,15.0,9.0,,1.0,30.0
1249805999,970.0,570.0,293.0,39.0,25.0,50.0,20.0,10.0,14.0,5.0,2.0,16.0,1.0,38.0,,
34625104,160.0,415.0,61.0,2.0,,4.0,14.0,12.0,2.0,14.0,,4.0,8.0,,,33.0
1214681781,63.0,156.0,9.0,11.0,1.0,,4.0,3.0,,22.0,,1.0,1.0,,,22.0
37170797,82.0,119.0,16.0,9.0,2.0,1.0,,6.0,2.0,34.0,2.0,2.0,4.0,,,29.0
36859834,1532.0,2525.0,156.0,174.0,5.0,12.0,44.0,53.0,39.0,286.0,2.0,17.0,95.0,,,732.0
1892828298,134.0,258.0,35.0,20.0,2.0,,3.0,2.0,4.0,32.0,,8.0,5.0,,,83.0
36823910,482.0,325.0,53.0,13.0,15.0,45.0,5.0,4.0,5.0,13.0,2.0,,2.0,51.0,,77.0
11595461,488.0,295.0,47.0,15.0,27.0,19.0,2.0,4.0,1.0,2.0,1.0,7.0,9.0,,1.0,
19872990,6526.0,4184.0,713.0,247.0,509.0,133.0,33.0,36.0,57.0,165.0,8.0,194.0,62.0,951.0,4.0,1129.0
1374828905,1315.0,1010.0,368.0,97.0,200.0,22.0,49.0,18.0,60.0,44.0,,40.0,11.0,1.0,1.0,99.0
31204698,919.0,591.0,88.0,32.0,55.0,7.0,9.0,20.0,26.0,31.0,5.0,8.0,16.0,,3.0,32.0
