id,votedKeywords_음식이 맛있어요,votedKeywords_재료가 신선해요,votedKeywords_특별한 메뉴가 있어요,votedKeywords_친절해요,votedKeywords_매장이 넓어요,votedKeywords_양이 많아요,votedKeywords_가성비가 좋아요,votedKeywords_매장이 청결해요,votedKeywords_주차하기 편해요,votedKeywords_단체모임 하기 좋아요,votedKeywords_특별한 날 가기 좋아요,votedKeywords_혼밥하기 좋아요,votedKeywords_화장실이 깨끗해요,votedKeywords_인테리어가 멋져요,votedKeywords_뷰가 좋아요,votedKeywords_디저트가 맛있어요,votedKeywords_커피가 맛있어요,votedKeywords_사진이 잘 나와요,votedKeywords_음료가 맛있어요,votedKeywords_대화하기 좋아요,votedKeywords_좌석이 편해요,votedKeywords_집중하기 좋아요,votedKeywords_빵이 맛있어요,votedKeywords_비싼 만큼 가치있어요,votedKeywords_야외 공간이 멋져요,votedKeywords_반려동물과 가기 좋아요,votedKeywords_음식이 빨리 나와요,votedKeywords_컨셉이 독특해요,votedKeywords_메뉴 구성이 알차요,votedKeywords_아이와 가기 좋아요,votedKeywords_아늑해요,votedKeywords_건강한 맛이에요,votedKeywords_차분한 분위기에요,votedKeywords_볼거리가 많아요,votedKeywords_산책로가 잘 되어있어요,votedKeywords_신기한 식물이 많아요,votedKeywords_가격이 합리적이에요,votedKeywords_편의시설이 잘 되어있어요,votedKeywords_대중교통이 편해요,votedKeywords_고기 질이 좋아요,votedKeywords_룸이 잘 되어있어요
19873758,793.0,277.0,134,127,98.0,86.0,74.0,74.0,49,28.0,23.0,21.0,16.0,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,
19873447,823.0,281.0,108,80,13.0,280.0,406.0,22.0,47,4.0,12.0,19.0,3.0,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
1927504039,642.0,247.0,160,149,272.0,134.0,123.0,190.0,217,56.0,9.0,33.0,37.0,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,
37060300,1765.0,263.0,305,355,515.0,421.0,271.0,354.0,304,39.0,23.0,93.0,120.0,29,80,,,,,,,,,,,,,,,,,,,,,,,,,,
13434137,772.0,425.0,312,175,42.0,75.0,62.0,106.0,85,14.0,22.0,7.0,25.0,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,
13418405,3492.0,469.0,1516,432,154.0,781.0,352.0,111.0,590,30.0,59.0,324.0,32.0,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,
1011125170,2281.0,354.0,817,222,12.0,100.0,232.0,43.0,19,5.0,45.0,161.0,17.0,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,
1000671392,,,572,225,,,58.0,249.0,127,,,,35.0,167,417,1438.0,204.0,197.0,105.0,28.0,19.0,11.0,,,,,,,,,,,,,,,,,,,
16886040,,,974,618,,,160.0,355.0,126,,,,15.0,97,67,,174.0,41.0,156.0,30.0,25.0,10.0,3254.0,,,,,,,,,,,,,,,,,,
1296235294,1132.0,349.0,296,499,32.0,299.0,151.0,165.0,5,14.0,16.0,60.0,19.0,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,
11840561,504.0,165.0,56,189,155.0,43.0,17.0,39.0,154,32.0,17.0,2.0,18.0,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,
1649804520,,,36,102,,,22.0,147.0,224,,,,67.0,283,799,191.0,374.0,364.0,144.0,78.0,58.0,6.0,,,,,,,,,,,,,,,,,,,
1519617703,,,198,220,,,28.0,265.0,221,,,,78.0,886,358,674.0,702.0,496.0,295.0,90.0,39.0,41.0,,,,,,,,,,,,,,,,,,,
1249805999,1014.0,299.0,411,357,81.0,52.0,36.0,84.0,3,12.0,59.0,10.0,7.0,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,
34625104,,,150,210,,,28.0,99.0,128,,,,51.0,47,358,137.0,465.0,53.0,232.0,55.0,35.0,11.0,,,,,,,,,,,,,,,,,,,
1214681781,,,50,64,,,4.0,67.0,47,,,,42.0,160,211,94.0,161.0,163.0,78.0,49.0,42.0,33.0,,,,,,,,,,,,,,,,,,,
37170797,,,9,16,,,2.0,4.0,2,,,,2.0,14,51,23.0,44.0,16.0,25.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
36859834,,,357,614,,,154.0,354.0,351,,,,173.0,737,3369,1767.0,2005.0,1239.0,882.0,229.0,167.0,38.0,,,,,,,,,,,,,,,,,,,
1892828298,4.0,,28,60,,,7.0,46.0,42,,,,13.0,96,380,169.0,250.0,174.0,39.0,34.0,18.0,4.0,74.0,33.0,19.0,12.0,,,,,,,,,,,,,,,
36823910,367.0,66.0,145,77,11.0,68.0,8.0,46.0,48,,15.0,31.0,4.0,50,243,,,,,,,,,,,,,,,,,,,,,,,,,,
11595461,649.0,311.0,131,100,82.0,95.0,85.0,36.0,16,22.0,15.0,17.0,7.0,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,
19872990,3932.0,1441.0,469,1285,1408.0,1370.0,679.0,886.0,934,207.0,161.0,52.0,184.0,299,2850,,,,,,,,,,,,178.0,6.0,,,,,,,,,,,,,
1374828905,1575.0,550.0,386,939,332.0,471.0,656.0,332.0,433,118.0,134.0,41.0,123.0,149,710,,,,,,,,,,,,,,,,,,,,,,,,,,
31204698,917.0,375.0,227,180,348.0,170.0,143.0,109.0,325,67.0,75.0,55.0,54.0,75,326,,,,,,,,,,,,,,,,,,,,,,,,,,
11727502,617.0,82.0,76,117,275.0,163.0,116.0,89.0,119,51.0,8.0,54.0,26.0,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,
1256246739,,,410,270,,,64.0,327.0,703,,,,188.0,997,2306,756.0,1019.0,1275.0,644.0,118.0,137.0,18.0,,,,,,,,,,,,,,,,,,,
1795151167,104.0,,195,686,671.0,,29.0,756.0,463,,25.0,,175.0,1747,2570,959.0,1710.0,1109.0,889.0,123.0,229.0,30.0,1873.0,,139.0,,,,,,,,,,,,,,,,
1667822207,,,121,60,,,12.0,20.0,127,,,,18.0,340,624,75.0,116.0,363.0,150.0,30.0,93.0,6.0,,,,,,,,,,,,,,,,,,,
1153699096,,,304,194,,,69.0,218.0,167,,,,79.0,482,637,939.0,424.0,300.0,217.0,76.0,105.0,9.0,,,,,,,,,,,,,,,,,,,
1383910337,,,173,213,,,69.0,99.0,335,,,,80.0,412,345,240.0,366.0,451.0,261.0,83.0,19.0,7.0,,,,,,,,,,,,,,,,,,,
11714447,396.0,159.0,55,126,154.0,210.0,201.0,34.0,88,65.0,34.0,2.0,14.0,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,
1864290419,,,238,80,,,18.0,51.0,97,,,,24.0,287,333,,177.0,256.0,210.0,29.0,4.0,5.0,97.0,,,,,,,,,,,,,,,,,,
1986490157,,,43,63,,,9.0,91.0,63,,,,31.0,216,207,101.0,183.0,188.0,108.0,14.0,15.0,3.0,,,,,,,,,,,,,,,,,,,
1838327534,,,2,3,,,,,3,,,,,8,10,2.0,5.0,11.0,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
1648347549,884.0,396.0,259,261,95.0,83.0,54.0,307.0,25,2.0,28.0,72.0,31.0,400,316,,,,,,,,,,,,,,,,,,,,,,,,,,
1146342571,1226.0,356.0,446,436,139.0,57.0,43.0,123.0,82,25.0,65.0,15.0,36.0,43,20,,,,,,,,,,,,,,,,,,,,,,,,,,
38265405,1783.0,835.0,581,639,378.0,342.0,213.0,517.0,97,65.0,114.0,3.0,98.0,159,9,,,18.0,,33.0,,,,,,,63.0,,379.0,54.0,26.0,,,,,,,,,,
1828477580,,,206,238,,,50.0,136.0,85,,,,70.0,234,892,499.0,558.0,317.0,337.0,103.0,120.0,25.0,,,,,,,,,,,,,,,,,,,
16929189,1476.0,605.0,386,690,402.0,345.0,216.0,277.0,422,110.0,48.0,68.0,72.0,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,
1277648050,,,102,126,,,25.0,156.0,142,,,,84.0,290,731,352.0,353.0,370.0,240.0,29.0,84.0,4.0,,,,,,,,,,,,,,,,,,,
766197218,4809.0,2468.0,1514,2022,1570.0,1084.0,512.0,1605.0,1094,298.0,312.0,25.0,475.0,517,89,,,35.0,,66.0,,,,,,,,,733.0,97.0,,720.0,143.0,,,,,,,,
36503433,1570.0,877.0,403,829,343.0,588.0,404.0,477.0,253,218.0,152.0,37.0,81.0,83,89,,,,,,,,,,,,,,,,,,,,,,,,,,
1142108083,1277.0,452.0,481,506,92.0,149.0,405.0,358.0,173,4.0,99.0,92.0,50.0,40,23,,,,,,,,,,,,,,,,,,,,,,,,,,
1089671180,,,96,92,,,20.0,101.0,15,,,,67.0,405,678,282.0,291.0,302.0,168.0,47.0,123.0,7.0,,,,,,,,,,,,,,,,,,,
1273416923,,,308,262,,,45.0,170.0,47,,,,64.0,96,733,281.0,720.0,130.0,420.0,71.0,76.0,18.0,,,,,,,,,,,,,,,,,,,
1090905770,,,41,55,,,7.0,19.0,68,,,,2.0,144,99,98.0,207.0,154.0,70.0,27.0,7.0,6.0,,,,,,,,,,,,,,,,,,,
1516216333,,,455,257,,,77.0,280.0,262,,,,117.0,284,699,,426.0,262.0,388.0,110.0,142.0,20.0,1564.0,,,,,,,,,,,,,,,,,,
37191637,,,69,89,,,18.0,71.0,40,,,,27.0,138,392,113.0,164.0,219.0,130.0,29.0,35.0,4.0,,,,,,,,,,,,,,,,,,,
1431450188,,,1516,902,,,198.0,359.0,174,,,,70.0,1087,1435,4473.0,1082.0,1489.0,607.0,104.0,91.0,29.0,,,,,,,,,,,,,,,,,,,
38335352,,,34,39,,,11.0,47.0,126,,,,19.0,115,428,113.0,172.0,163.0,88.0,35.0,32.0,7.0,,,,,,,,,,,,,,,,,,,
1477478251,,,23,42,,,2.0,47.0,32,,,,11.0,71,63,39.0,105.0,37.0,26.0,14.0,,2.0,,,,,,,,,,,,,,,,,,,
31660729,1123.0,388.0,251,382,456.0,224.0,48.0,301.0,251,99.0,60.0,5.0,98.0,68,20,,,,,,,,,,,,,,,,,,,,,,,,,,
1509572684,,,4,16,,,6.0,7.0,281,,,,82.0,19,628,7.0,14.0,508.0,15.0,3.0,4.0,1.0,,,,,,,,,,,,650.0,587.0,205.0,89.0,47.0,8.0,,
16947222,366.0,195.0,88,104,49.0,60.0,53.0,40.0,33,2.0,2.0,17.0,10.0,5,137,,,,,,,,,,,,,,,,,,,,,,,,,,
37438036,382.0,167.0,124,80,18.0,47.0,36.0,13.0,59,4.0,23.0,14.0,6.0,22,206,,,,,,,,,,,,,,,,,,,,,,,,,,
13444829,1159.0,261.0,76,431,561.0,100.0,207.0,159.0,433,267.0,39.0,21.0,72.0,35,29,,,,,,,,,,,,,,33.0,4.0,,,,,,,,,,103.0,4.0
