id,visitorReviewsTotal,ratingReviewsTotal,avgRating,rating_total_count,Counts_per_Scores,imageReviewCount,authorCount,maxSingleReviewScoreCount,votedKeywords_totalCount,votedKeywords_reviewCount,votedKeywords_userCount
32152539,4.0,,0.0,4,[],0,0,,,,
1744843816,3.0,1.0,4.67,3,"[{'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}]",2,3,2.0,,,
17078730,,,0.0,0,[],0,0,,,,
17089759,,,0.0,0,[],0,0,,,,
17088128,3.0,1.0,5.0,3,"[{'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}]",0,3,1.0,,,
17084701,3.0,,0.0,3,[],1,3,,,,
17067976,2.0,2.0,5.0,2,"[{'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}]",0,2,2.0,,,
12226274,1.0,1.0,3.5,1,"[{'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}]",0,1,1.0,,,
13491591,780.0,492.0,4.44,780,"[{'count': 10, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 156, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 3, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 33, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 337, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 39, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 67, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2, 'score': None, '__typename': 'VisitorReviewScore'}]",43,685,337.0,,,
13044022,18204.0,810.0,4.14,18204,"[{'count': 506, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 2131, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 5238, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 19, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 24, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 121, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 299, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 6985, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 482, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 35, 'score': None, '__typename': 'VisitorReviewScore'}]",1266,14549,6985.0,5922.0,2197.0,2006.0
1539131369,7.0,5.0,4.9,7,"[{'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}, {'count': 4, 'score': None, '__typename': 'VisitorReviewScore'}]",0,6,4.0,2.0,2.0,2.0
17085066,1.0,,0.0,1,[],0,1,,,,
1071488603,3.0,1.0,5.0,3,"[{'count': 1, 'score': None, '__typename': 'VisitorReviewScore'}]",0,3,1.0,,,
