업소명,소재지,영업장면적,전화번호,업태명,데이터기준일자
(주)삼다도횟집,제주특별자치도 제주시 서해안로 572 ,519.96,064-711-7080,횟집,2021-02-23
가영이네횟집,제주특별자치도 제주시 성지로 46-1,113,064-757-8581,횟집,2021-02-23
강강술래,제주특별자치도 제주시 중앙로11길 12 ,29.48,064-725-6731,횟집,2021-02-23
갯바위횟집,제주특별자치도 제주시 흥운길 99,191.08,064-712-7600,횟집,2021-02-23
거제도횟집,제주특별자치도 제주시 서부두길 26 ,110.56,064-758-3737,횟집,2021-02-23
경락,제주특별자치도 제주시 천수로13길 6 ,83.33,064-726-3380,횟집,2021-02-23
계성,제주특별자치도 제주시 서사로 161 ,54.1,064-757-1161,횟집,2021-02-23
고기가게,제주특별자치도 제주시 국기중길 12 ,142.06,,횟집,2021-02-23
곱스럽닭도남점,제주특별자치도 제주시 도남로 25,108.89,,횟집,2021-02-23
구엄해녀수산,제주특별자치도 제주시 애월읍 애월해안로 715-1,133.21,064-745-1135,횟집,2021-02-23
금돈지수산,제주특별자치도 제주시 금산5길 9 ,80.36,064-755-6374,횟집,2021-02-23
금보,제주특별자치도 제주시 서부두길 14 ,111.6,064-726-1777,횟집,2021-02-23
금복촌,제주특별자치도 제주시 서광로7길 5 ,101.34,064-722-8568,횟집,2021-02-23
길촌,제주특별자치도 제주시 도공로 6 ,102,064-743-2227,횟집,2021-02-23
김녕대성,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,214.5,064-784-5508,횟집,2021-02-23
김해,제주특별자치도 제주시 서해안로 660,69,064-711-1318,횟집,2021-02-23
꽃보다소제주연동점,제주특별자치도 제주시 신대로10길 18 ,101.52,,횟집,2021-02-23
날걸로,제주특별자치도 제주시 중앙로1길 8 ,29.4,064-752-6628,횟집,2021-02-23
남또리,제주특별자치도 제주시 애월읍 애월해안로 384,178.12,064-799-1711,횟집,2021-02-23
남해횟집,제주특별자치도 제주시 국기중길 3 ,126.28,064-744-5578,횟집,2021-02-23
내도바당,제주특별자치도 제주시 내도중길 9-7 ,15.36,064-743-8339,횟집,2021-02-23
노형자연산,제주특별자치도 제주시 정존3길 26,87,064-749-2622,횟집,2021-02-23
누네띠네,제주특별자치도 제주시 관덕로8길 19 ,84.7,064-724-4980,횟집,2021-02-23
다려도 횟집,제주특별자치도 제주시 조천읍 신북로 544,64.8,064-783-8836,횟집,2021-02-23
다은식당,제주특별자치도 제주시 오복2길 34 ,50.4,064-721-0640,횟집,2021-02-23
대게와킹크랩돌꼬망쭌포차,제주특별자치도 제주시 오복6길 5 ,92.13,,횟집,2021-02-23
대아갈비,제주특별자치도 제주시 연동4길 6-2 ,98.82,064-745-9922,횟집,2021-02-23
대진,제주특별자치도 제주시 서부두길 16 ,259.56,064-758-0522,횟집,2021-02-23
대촌미락,제주특별자치도 제주시 조천읍 조함해안로 482-1,211.76,064-784-5666,횟집,2021-02-23
대풍미락횟집함덕본점,제주특별자치도 제주시 조천읍 조함해안로 446,378.22,064-784-8100,횟집,2021-02-23
도근내,제주특별자치도 제주시 월대5길 9,58.84,064-752-4563,횟집,2021-02-23
도깨비횟집,제주특별자치도 제주시 도두항서길 67,524.53,,횟집,2021-02-23
도남앤횟집,제주특별자치도 제주시 도남로 49,112.47,064-751-5697,횟집,2021-02-23
도담스시,제주특별자치도 제주시 연수로 40 ,84.24,064-722-1563,횟집,2021-02-23
도두,제주특별자치도 제주시 도두3길 48 ,116.77,064-742-9292,횟집,2021-02-23
도두맛집해녀와바다,제주특별자치도 제주시 도두항서길 34,330.76,064-7130-040,횟집,2021-02-23
도두어부의밥상,제주특별자치도 제주시 서해안로 181,72.28,064-713-8250,횟집,2021-02-23
도두항돈까스,제주특별자치도 제주시 도두항서길 26,294.88,064-744-6446,횟집,2021-02-23
도두활어직매장,제주특별자치도 제주시 도공로 3-5,83.1,064-743-4188,횟집,2021-02-23
돈독,제주특별자치도 제주시 남광북1길 45 ,76.86,,횟집,2021-02-23
돈떵이서부두점,제주특별자치도 제주시 서부두길 26 ,91.88,064-723-6657,횟집,2021-02-23
돈짱,제주특별자치도 제주시 서해안로 131,146.67,064-742-2008,횟집,2021-02-23
돌수산,제주특별자치도 제주시 사장길 17,27.72,,횟집,2021-02-23
동문삼원횟집,제주특별자치도 제주시 관덕로14길 18,31.57,,횟집,2021-02-23
동문올레횟집,제주특별자치도 제주시 관덕로14길 10 ,110.56,064-752-5657,횟집,2021-02-23
동복리해녀잠수촌,제주특별자치도 제주시 구좌읍 구좌해안로 32,77.49,,횟집,2021-02-23
동승호,제주특별자치도 제주시 신성로7길 16 ,118.79,064-721-8254,횟집,2021-02-23
동화수산물회센타,제주특별자치도 제주시 동화로1길 49-13 ,24.55,064-724-6378,횟집,2021-02-23
동희,제주특별자치도 제주시 흥운길 89 ,154,064-748-5688,횟집,2021-02-23
등대와바당,제주특별자치도 제주시 도두항서길 37,154.92,064-711-1282,횟집,2021-02-23
