,alltag,contentsid,contentscd,title,address,roadaddress,tag,introduction,readcnt,likecnt,reviewcnt,markcnt,snssharecnt,schedulecnt,visitcnt,evelpt,latitude,longitude,phoneno,sbst,PHOTOSHARECOUNT,cate2cd,cate3cd,imgpath,thumbnailpath
0,"추자갈비,추자오겹살,추자장어구이,추자음식점,추자식당,추자도,음식,양념왕갈비,오겹살,조기구이,정식,식당",CNTS_200000000009113,음식점,황금섬숯불갈비,제주특별자치도 제주시 추자면 대서리 140-6,제주특별자치도 제주시 추자면 추자로 36,"추자갈비,추자오겹살,추자장어구이,추자음식점,추자식당,추자도,음식,양념왕갈비,오겹살,조기구이,정식,식당",추자에서 즐기는 제주산 돼지고기,376,0,0,2,0,0,0,0.0,33.9636778,126.2957655,064-742-0478,65명 수용가능한 단체가능석에 육고기 요리와 생선요리를 같이 파는 음식점,0.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201908/20/e60fda5b-d85e-46bd-ad95-9e5eaa0bda8a.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/20/d10c9bac-ec7e-4aa2-ac2b-a818539f1416.JPG
1,"삼화, 순두부요리, 전골요리,화장실,무료 WIFI,일품순두부, 해장순두부, 두부전골, 소불고기뚝배기, 제육볶음, 코다리냉면,어린이 출입가능,가능",CNTS_200000000012653,음식점,일품순두부삼화점,제주특별자치도 제주시 삼양이동 2176-14,제주특별자치도 제주시 삼봉로2길 54,"삼화,순두부요리,전골요리,음식,식당","일품순두부는 다양한 종류의 순두부찌개는 물론 소불고기뚝배기, 제육볶음 등의 추가메뉴도 주문할 수 있다. 또한 돌솥밥이 함께 제공되며 포장도 가능하다.",21,0,0,0,0,0,0,0.0,33.519579,126.5823597,064-722-0434,"제주시내를 빠져나가 삼양해수욕장으로 향하는 길목에 위치하고 있는 일품순두부삼화점는 순두부 전문점답게 일품순두부, 해물순두부, 섞어순두부, 굴순두부, 조개순두부, 버섯순두부, 해장순두부 등 다양한 순두부찌개를 주문할 수 있다. 여기에 더해 소불고기뚝배기, 불판제육볶음, 오징어볶음, 두부김치 등의 추가메뉴도 주문할 수 있으며 순두부와 더불어 푸짐한 한상을 즐길 수 있다. 이외에 두부전골, 순두부전골도 준비되어 있어 취향에 맞는 순두부요리를 즐길 수 있다. 또한 모든 메뉴가 포장이 가능하여 테이크아웃 후 숙소에서 편하게 즐길 수도 있다.",0.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/202201/03/608e086f-2f1d-414f-8ac6-826335b6e8e8.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202201/03/e19c0c17-8c7b-433f-a851-d52af3e7266b.jpg
2,"추자음식점,추자식당,추자향토음식점,추자회식당,추자도,음식,한치물회,전복물회,물회,고등어회,식당,한치,화장실,무료 WIFI,공용주차장,카드결제,현금결제,쉬움",CNTS_200000000009101,음식점,해적선,제주특별자치도 제주시 추자면 대서리 144-1,제주특별자치도 제주시 추자면 추자로 42-1,"추자음식점,추자식당,추자향토음식점,추자회식당,추자도,음식,한치물회,전복물회,물회,고등어회,식당,한치",추자도에서 잡히는 싱싱한 생선으로 요리하는 음식점,442,0,0,1,0,0,0,0.0,33.9627586,126.2952052,010-8623-8229,추자도에서 잡히는 생선들로 구성되는 메뉴들을 보유한 음식점 ,0.0,향토음식,향토음식,https://api.cdn.visitjeju.net/photomng/imgpath/201908/20/b3b66f44-eb46-45f6-a10d-ea3f50f8e8e1.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/20/41415e0e-33bc-4774-9c9e-8c848e28229a.jpg
3,"순두부,두부전골",CNTS_200000000013323,음식점,제주콩순옥,제주특별자치도 서귀포시 대정읍 하모리 857-8,제주특별자치도 서귀포시 대정읍 신영로 129-2,"순두부,두부전골,안심채움,맛있는제주만들기,음식,식당","제주콩순옥은 2016년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 16호점 식당이다. 모슬포항에서 차로 3분 거리에 위치해 있고, 순두부찌개, 두부전골 등을 주요 메뉴로 한다.",81,0,0,1,0,0,0,0.0,33.2234062,126.2549022,064-792-8585,,0.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/202205/31/a28369b5-2721-445d-9aa0-532b1a780923.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202205/31/b59d1570-03c8-4b01-a28c-715083621f77.JPG
4,"부모,휴식/힐링, 채식주의",CNTS_200000000007243,음식점,자연으로,제주특별자치도 서귀포시 성산읍 삼달리 1079-13,제주특별자치도 서귀포시 성산읍 중산간동로 4217,"부모,휴식/힐링,채식주의,음식,간장게장,돔베고기,고등어구이,정식,수육",자연주의 전문 음식점,1111,0,0,3,0,0,0,0.0,33.3783806,126.8403086,064-782-2831,"자연 속으로 풍덩 빠져든 것 같은 느낌을 주는 인테리어와 음식. 직접 농사를 지어 수확한 식재료를 원료로 사용하기 때문에 메뉴 하나하나에 대한 요리사의 애정과 자부심을 듬뿍 느낄 수 있는 음식들로 가득 차 있다. 조미료를 첨가하지 않고 자연 그대로의 맛을 살려내어 자극적인 맛이 전혀 없어 건강한 웰빙 식단을 경험해볼 수 있다. 

아마씨, 호두, 땅콩, 은행 등을 현미찹쌀과 보리 등에 섞어 영양가도 높은 신선밥, 신선밥에 우엉을 추가해서 요리한 우엉덮밥은 부추양념장에 비벼먹는 맛이 좋다. 토마토 소스로 양념을 한 토마토 비빔국수, 통밀 수제비, 콩국수 등의 주 메뉴와 콩으로 만든 고기, 두부 야채볶음 등의 반찬도 맛깔나다. ",0.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201807/17/3d9671c0-721a-4bdf-b620-5d6c6d8e22b7.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201807/17/56aa0644-dbf5-4f2f-aa38-3e36404bd24e.jpg
5,"한식,흑돼지,한우,육회,음식,양념갈비,갈비,오겹살,목살,공용주차장",CNTS_000000000001285,음식점,돈풍년,제주특별자치도 제주시 아라2동 3014-1,제주특별자치도 제주시 승천로 52,"한식,흑돼지,한우,육회,음식,양념갈비,갈비,오겹살,목살",제주산 흑돼지와 한우가 있는 쾌적한 식사 공간,1139,0,0,2,1,0,0,,33.492493,126.54009,064-713-5252,"????????
??
많은 사람들과 즐거운 식사시간을 가질 수 있도록 단체석이 완비된 곳

한우와 제주산 흑돼지를 주로 판매하는 돈풍년에서는 등심, 생갈비, 육회뿐만 아니라
항정살, 가브리살 등 다양한 부위의 고기를 판매한다.&nbsp;
제주에서 고기를 먹을 때 빼놓을 수 없는 '멜젓' 또한 돈풍년에서 고기에 곁들여 먹을 수 있다.&nbsp;
흑돼지 샤브샤브, 흑돼지 정식 등의 특선메뉴들은 점심시간에만 주문가능하다.

??????????",,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/df4fdf26-d105-4c02-ae5a-e9030ca32641.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/0ee2de2f-037d-4d1e-ac0e-b97cd5498a67.jpg
6,"해장국,선지해장국,국내산육우,음식,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설,어려움",CNTS_000000000001231,음식점,미원,제주특별자치도 제주시 원노형6길 10,제주특별자치도 제주시 원노형6길 10,"해장국,선지해장국,국내산육우,음식","텁텁하지 않고 시원하고 얼큰한 국물이 일품인 미원해장국
노형동에 위치한 얼큰한 국물이 맛있는 해장국 전문점",569,0,0,0,0,0,0,,33.48518,126.48274,064-742-1289,"미원 해장국은 국내산 육우만 사용하는 해장국집이다.
주방이 오픈되어 있어 신뢰감을 더해주고, 메뉴는 단 한가지이다.
얼큰하고 시원한 국물이 일품인 선지해장국.
정갈한 밑반찬들과 함께 계란찜도 서비스로 나온다.
???????해장국에 깍두기 국물을 넣어 먹어도 맛있으며, 깍두기는 리필된다.",,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/6b05b72d-887d-4595-87cc-ccdd81115800.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/e53ed45a-47f2-4b4b-8f38-bd2fab886e87.gif
7,"흑돼지,돼지고기덮밥,김밥,안심채움,맛있는제주만들기,음식,식당",CNTS_200000000013329,음식점,뉴남원분식,제주특별자치도 서귀포시 남원읍 남원리 102-7,제주특별자치도 서귀포시 남원읍 태위로679번길 2,"흑돼지,돼지고기덮밥,김밥,안심채움,맛있는제주만들기,음식,식당",뉴남원분식은 2019년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 22호점 식당이다. 호텔신라의 지원으로 리모델링을 하고 새로운 메뉴를 선보이면서 식당명을 ‘남원분식’에서 ‘뉴 남원분식’으로 개편했다.,143,0,0,2,0,0,0,0.0,33.279325,126.719333,064-764-5007,,0.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/202205/31/33f4b0fa-988f-4191-8da5-10160915a221.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202205/31/92e81ca6-807e-4902-9a92-0d5bbcadaa52.JPG
8,"한식,갈비찜,갈비탕,왕갈비,음식,전복갈비탕,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,단독접근가능,테이블 비치,쉬움",CNTS_000000000001504,음식점,제주정,제주특별자치도 제주시 삼양2동 2142-3,제주특별자치도 제주시 일주동로 320,"한식,갈비찜,갈비탕,왕갈비,음식,전복갈비탕",영양만점 한식이 가득한 제주정,1393,0,0,1,2,0,0,,33.521053,126.57905,064-721-2228,"겨울철에 먹기 좋은 매생이와 전복으로 꽉 찬 영양만점 한식을 즐겨보자 삼양검은모래 해변 인근에 위치한 제주정은 궁중갈비찜과 왕갈비탕, 매생이 갈비탕 등을 판매하며, 매운 전복갈비찜, 활전복 한 접시, 치즈 왕갈비 등 다양한 메뉴가 있다. 메인 메뉴와 함께 세 가지김치가 반찬으로 나오며 공깃밥이 함께 나온다. 제주정에는 아이들을 위한 의자와 식기도구도 마련되어 있다. 내부는 좁지 않으며 2인이 앉을 수 있는 테이블과 여러 명이 앉을 수 있는 테이블이 마련되어 있고, 바깥쪽에는 간이 먹거리를 판매하며 커피뿐만 아니라 주스도 후식으로 즐길 수 있다.",,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3f6d5dd1-3f10-4890-84ee-f9b697756ed7.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/69092b55-00ad-405b-ba13-e10640c9a635.jpg
9,"카페,음식,포토스팟,식당,아이스크림,차,아메리카노,에이드,카페라떼,샌드위치",CNTS_200000000012265,음식점,허브올레,제주특별자치도 서귀포시 표선면 성읍리 2669,제주특별자치도 서귀포시 표선면 번영로 2543-5,"카페,음식,포토스팟,식당,아이스크림,차,아메리카노,에이드,카페라떼,샌드위치",제주땅에서 직접 키운 허브를 손냄들에게 대접하는 특별한 카페,246,0,0,0,0,0,0,0.0,33.4059357,126.7790832,064-787-7447,,0.0,카페,카페,https://api.cdn.visitjeju.net/photomng/imgpath/202111/23/b5aa8f5d-cfc6-4fa8-ab55-1c0d956eb2d4.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/23/0b417fa9-9d6a-4b89-bb50-0d8432ea1808.jpg
