인허가연월,폐업,영업
196001,1,0
196002,1,0
196003,0,0
196004,0,0
196005,0,0
196006,0,0
196007,0,0
196008,0,0
196009,0,0
196010,0,0
196011,0,0
196012,0,0
196101,0,0
196102,0,0
196103,0,0
196104,0,0
196105,0,0
196106,0,0
196107,0,0
196108,0,0
196109,0,0
196110,0,0
196111,0,0
196112,0,0
196201,0,0
196202,0,0
196203,0,0
196204,0,0
196205,0,0
196206,0,0
196207,0,0
196208,0,0
196209,0,0
196210,0,0
196211,0,0
196212,0,0
196301,0,0
196302,0,0
196303,0,0
196304,0,0
196305,0,0
196306,0,0
196307,0,0
196308,0,0
196309,0,0
196310,0,1
196311,0,0
196312,0,0
196401,0,1
196402,0,0
196403,2,0
196404,0,0
196405,0,0
196406,0,0
196407,0,0
196408,0,0
196409,0,0
196410,0,0
196411,0,0
196412,0,0
196501,1,0
196502,0,0
196503,0,0
196504,0,0
196505,0,0
196506,0,0
196507,0,0
196508,0,0
196509,1,0
196510,0,0
196511,0,0
196512,0,0
196601,0,0
196602,0,0
196603,0,0
196604,0,0
196605,0,0
196606,0,0
196607,0,0
196608,1,0
196609,0,0
196610,0,0
196611,0,0
196612,0,0
196701,0,0
196702,0,0
196703,0,0
196704,0,1
196705,0,0
196706,0,0
196707,0,0
196708,0,0
196709,0,0
196710,1,2
196711,0,1
196712,0,0
196801,0,0
196802,0,0
196803,0,1
196804,0,0
196805,0,0
196806,0,0
196807,0,0
196808,0,1
196809,0,0
196810,1,0
196811,0,0
196812,1,0
196901,0,0
196902,0,0
196903,0,0
196904,0,0
196905,0,2
196906,0,0
196907,1,0
196908,0,0
196909,1,0
196910,0,0
196911,1,0
196912,0,0
197001,2,0
197002,0,1
197003,1,1
197004,0,1
197005,0,1
197006,0,0
197007,0,1
197008,1,1
197009,1,0
197010,0,0
197011,1,0
197012,0,0
197101,0,0
197102,1,0
197103,3,0
197104,1,0
197105,0,0
197106,0,0
197107,0,1
197108,0,0
197109,2,2
197110,0,0
197111,4,1
197112,2,0
197201,0,0
197202,0,0
197203,0,0
197204,0,0
197205,1,0
197206,0,0
197207,0,0
197208,0,0
197209,0,0
197210,1,0
197211,0,0
197212,0,0
197301,0,0
197302,0,0
197303,0,0
197304,0,0
197305,0,0
197306,0,0
197307,2,0
197308,0,0
197309,0,0
197310,0,0
197311,1,0
197312,0,0
197401,0,0
197402,0,0
197403,0,0
197404,1,0
197405,0,0
197406,0,0
197407,1,0
197408,0,1
197409,0,0
197410,1,0
197411,0,0
197412,0,0
197501,0,0
197502,1,0
197503,0,0
197504,1,0
197505,1,1
197506,1,0
197507,0,0
197508,1,0
197509,1,0
197510,0,0
197511,0,0
197512,0,1
197601,0,0
197602,67,24
197603,54,14
197604,2,4
197605,1,2
197606,1,0
197607,4,4
197608,4,2
197609,0,0
197610,0,3
197611,2,0
197612,1,3
197701,0,0
197702,4,0
197703,2,1
197704,1,1
197705,1,1
197706,1,0
197707,1,0
197708,1,0
197709,0,0
197710,3,0
197711,4,1
197712,4,0
197801,1,1
197802,1,1
197803,6,1
197804,2,1
197805,0,2
197806,0,0
197807,3,1
197808,0,0
197809,0,1
197810,1,1
