,alltag,contentsid,contentscd,title,region1cd,region2cd,address,roadaddress,tag,introduction,readcnt,likecnt,reviewcnt,markcnt,snssharecnt,schedulecnt,visitcnt,evelpt,latitude,longitude,postcode,phoneno,sbst,created,changed,catemappList,festivalcontents,repPhoto,PHOTOSHARECOUNT,reservelink
0,"휴식/힐링,체험관광,액티비티,사계절",CNTS_200000000012469,"{'value': 'c1', 'label': '관광지', 'refId': 'contentscd>c1'}",제로스테이션(제로포인트트레일),"{'value': 'region1', 'label': '제주시', 'refId': 'region>region1'}","{'value': '11', 'label': '제주시내', 'refId': 'region1>11'}",제주특별자치도 제주시 건입동 1136 2층,제주특별자치도 제주시 산지로 25 2층,"휴식/힐링,체험관광,액티비티,사계절,체험,레저/체험,어트랙션","제로스테이션은 산지천에 위치한 카페이자 길과 여행을 사랑하는 사람들을 위한 공간이다. 이곳은 제로포인트트레일의 참여자를 위한 베이스캠프 역할을 하고 있다. 제로포인트트레일은 해발 0m인 제주 해안가에서 출발해 해발 1,947m인 한라산 정상까지 차량, 동력의 힘을 빌리지 않고 오로지 참가자의 두 발로 정상까지 오르는 트레킹 프로그램이다.",530,0,0,0,1,0,0,0.0,33.5147335,126.5292798,,064-702-1947,"트레킹 프로그램과 관련해 사전 상담과 당일 모니터링, 완주 인증 기록 게시 등 다양한 서비스를 제공하고 있다. 간단한 캠핑, 하이킹용품과 함께 티셔츠, 스티커 등 제로포인트트레일의 굿즈도 구매할 수 있다. 제로스테이션에서는 자연을 살리고자 하는 친환경 캠페인도 함께 진행하고 있어 카페에서는 친환경 제품을 사용하고 플라스틱 사용을 최소화 하여 음료를 제공하고 있다.",20211217102144,20220713124957,"[{'seq': 29529, 'contentsid': {'value': 'CNTS_200000000012469', 'label': '제로스테이션(제로포인트트레일)', 'refId': 'CNTS_200000000012469'}, 'cate1cd': {'value': 'cate0000000002', 'label': '관광지', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000011', 'label': '레저/체험', 'refId': 'cate0000000002>cate0000000011'}, 'cate3cd': {'value': 'cate0000001324', 'label': '그외', 'refId': 'cate0000000011>cate0000001324'}, 'created': '20220121095035'}]",,"{'descseo': '제로스테이션(제로포인트트레일)', 'photoid': {'photoid': 2019022594813, 'imgpath': 'https://api.cdn.visitjeju.net/photomng/imgpath/202112/17/374c08e3-922a-477c-bd52-782ee3ed68f8.jpg', 'thumbnailpath': 'https://api.cdn.visitjeju.net/photomng/thumbnailpath/202112/17/0aa6de13-b11d-4160-ba98-e2ffb3cb9e18.jpg'}}",0.0,
1,"부모,커플,친구,경관/포토,휴식/힐링,테마공원,오름,사계절,청년,중/장년,휴식/치유,자연경관,도보여행,도보,포토스팟",CNTS_200000000009501,"{'value': 'c1', 'label': '관광지', 'refId': 'contentscd>c1'}",궁대오름(궁대악),"{'value': 'region2', 'label': '서귀포시', 'refId': 'region>region2'}","{'value': '17', 'label': '성산', 'refId': 'region2>17'}",제주특별자치도 서귀포시 성산읍 수산리 4711-1,제주특별자치도 서귀포시 성산읍 금백조로 446,"부모,커플,친구,경관/포토,휴식/힐링,테마공원,오름,사계절,청년,중/장년,휴식/치유,자연경관,도보여행,도보,포토스팟","오름의 모양새가 마치 활처럼 생기고, 오름 허리에 활(궁·弓)자 모양의 띠가 둘러져 있어 궁대오름, 한자로 궁대악(弓帶岳)으로 불리는 오름.
",1723,0,0,5,1,0,0,0.0,33.4405616,126.8220889,,064-787-4711,"오름의 모양새가 마치 활처럼 생기고, 오름 허리에 활(궁·弓)자 모양의 띠가 둘러져 있어 궁대오름, 한자로 궁대악(弓帶岳)으로 불리는 오름.

궁대오름은 완만한 편이라 누구나 쉽게 오를 수 있고, 보기드문 이중화산체다. 남쪽에서 보면 길게 누워있고, 북쪽에서 보면 북서쪽으로 벌어진 말굽형이며 그 안에는 작은 알오름이 둥그스름하게 솟아올라 있다. 궁대악 일대에는 제주특별자치도가 총사업비 30억원을 투입한 자연생태공원이 있다. 노루와 물새와 맹금류 등 멸종위기종 조류 등 야생동물을 활용한 테마공원을 조성하는 것으로 2014년부터 오름주변 경계울타리 설치를 비롯해 관리 안내소, 배수로 정비, 300여 마리의 노루 방사를 앞두고 노루의 먹이 식물 등 식재, 조류 관찰시설, 전망대 등이 들어서 있다.현재도 오름 숲속에서 노루의 울음소리가 들리는데 앞으로 추가로 노루가 방사되면 오름 곳곳에서 노루가 뛰노는 모습을 볼 수 있을 것이다.",20191119155823,20220713220106,"[{'seq': 30503, 'contentsid': {'value': 'CNTS_200000000009501', 'label': '궁대오름(궁대악)', 'refId': 'CNTS_200000000009501'}, 'cate1cd': {'value': 'cate0000000002', 'label': '관광지', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': '자연', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000035', 'label': '오름', 'refId': 'cate0000000009>cate0000000035'}, 'created': '20220323102517'}]",,"{'descseo': '궁대오름(궁대악)', 'photoid': {'photoid': 2019022566430, 'imgpath': 'https://api.cdn.visitjeju.net/photomng/imgpath/201911/19/1d3d1dd4-41ba-46db-a627-cf393da6c757.JPG', 'thumbnailpath': 'https://api.cdn.visitjeju.net/photomng/thumbnailpath/201911/19/4bc684bb-c83b-4f51-8a24-fc9f148ea805.JPG'}}",0.0,
2,"커플,부모,혼자,친구,아이,맑음,흐림,비.눈,경관/포토,휴식/힐링,미술/박물관,사계절,청년,중/장년,노년,전시와 행사,실내관광지,역사유적,포토스팟,어린이,어트랙션,쉬움",CNTS_200000000012075,"{'value': 'c1', 'label': '관광지', 'refId': 'contentscd>c1'}",헌마공신김만일기념관,"{'value': 'region2', 'label': '서귀포시', 'refId': 'region>region2'}","{'value': '25', 'label': '남원', 'refId': 'region2>25'}",서귀포시 남원읍 서성로 919,서귀포시 남원읍 서성로 919,"커플,부모,혼자,친구,아이,맑음,흐림,비.눈,경관/포토,휴식/힐링,미술/박물관,사계절,청년,중/장년,노년,전시와 행사,실내관광지,역사유적,포토스팟,어린이,어트랙션",임진왜란 당시 전쟁에 사용할 말 500마리를 헌납하면서 국난극복에 기여한 김만일(1550~1632)을 기리기 위한 공간으로 2021년 8월 문을 열었다.,323,2,0,1,0,0,0,0.0,,,,064-805-9801,,20211007145448,20220713225731,"[{'seq': 30509, 'contentsid': {'value': 'CNTS_200000000012075', 'label': '헌마공신김만일기념관', 'refId': 'CNTS_200000000012075'}, 'cate1cd': {'value': 'cate0000000002', 'label': '관광지', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000010', 'label': '문화관광', 'refId': 'cate0000000002>cate0000000010'}, 'cate3cd': {'value': 'cate0000000054', 'label': '전시관', 'refId': 'cate0000000010>cate0000000054'}, 'created': '20220323104224'}]",,"{'descseo': '헌마공신김만일기념관', 'photoid': {'photoid': 2019022591775, 'imgpath': 'https://api.cdn.visitjeju.net/photomng/imgpath/202111/26/4d4c5df7-dcfc-4eec-9f4b-4c1e3514a974.jpg', 'thumbnailpath': 'https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/26/f523bcbc-0dc1-4b5f-9814-5927889f634d.jpg'}}",0.0,
3,관광지,CNTS_200000000013590,"{'value': 'c1', 'label': '관광지', 'refId': 'contentscd>c1'}",본초족욕,"{'value': 'region1', 'label': '제주시', 'refId': 'region>region1'}","{'value': '11', 'label': '제주시내', 'refId': 'region1>11'}",제주특별자치도 제주시 연동 1326,제주특별자치도 제주시 은수길 65,"관광지,안전여행스탬프,experience",천연 족욕 테라피를 즐기면서 심신의 피로를 확 날려버릴 수 있는 곳,40,1,0,1,0,0,0,0.0,33.471491,126.4881721,,010249938913,,20220706143023,20220713232759,"[{'seq': 31479, 'contentsid': {'value': 'CNTS_200000000013590', 'label': '본초족욕', 'refId': 'CNTS_200000000013590'}, 'cate1cd': {'value': 'cate0000000002', 'label': '관광지', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000011', 'label': '레저/체험', 'refId': 'cate0000000002>cate0000000011'}, 'cate3cd': {'value': 'cate0000001324', 'label': '그외', 'refId': 'cate0000000011>cate0000001324'}, 'created': '20220706151320'}]",,"{'descseo': '본초족욕', 'photoid': {'photoid': 2019022602447, 'imgpath': 'https://api.cdn.visitjeju.net/photomng/imgpath/202207/06/84a15d14-8f23-4124-8a3e-a5333b89691c.jpg', 'thumbnailpath': 'https://api.cdn.visitjeju.net/photomng/thumbnailpath/202207/06/d63fce70-ae02-4656-938a-fdd4f2d6711d.jpg'}}",0.0,
4,"실내,문화유적지,가을,문화관광,역사유적,어트랙션,공용주차장,어려움",CNTS_000000000021292,"{'value': 'c1', 'label': '관광지', 'refId': 'contentscd>c1'}",강병대교회,"{'value': 'region2', 'label': '서귀포시', 'refId': 'region>region2'}","{'value': '22', 'label': '대정', 'refId': 'region2>22'}",제주특별자치도 서귀포시 대정읍 상모리 3846,제주특별자치도 서귀포시 대정읍 상모대서로 43-3,"실내,문화유적지,가을,문화관광,역사유적,어트랙션",우리나라에서 가장 오래된 군인 교회,2839,0,0,4,5,0,0,,33.22652,126.25722,63508,070-7790-3860,"건립 당시의 원형이 절반 이상 남아있는 생생한 역사의 흔적
서귀포시 대정읍에 있는 '강병대교회'는 등록문화재 제38호로 지정된 교회 건물이다. 훈련 장병들의 정신력 강화와 정신적 위안을 위하여 1952년에 건립된 이 교회는 민간 건축 기술자가 아닌 공병대에 의해 건립되었는데,건물의 벽체는 제주 현무암으로 되어있다. 전체 규모의 절반 정도가 준공 당시의 모습을 그대로 유지하고 있어서 역사적 가치가 높은 국방 기념물이다. 강병대교회에서는 어려운 지역민들에게 희망을 주는 봉사와 전도 활동을 겸하기도 했다. 수많은 장병들이 고된 훈련 중에 이곳에 들러 마음의 안정을 찾거나 격전지로 떠나기 전에 승리를 기원하고 ???????고향에 두고 온 부모와 가족의 안녕을 빌기도 했었으며 우리나라에서 가장 오래된 군인교회이다. ",20161223174335,20220714013126,"[{'seq': 29755, 'contentsid': {'value': 'CNTS_000000000021292', 'label': '강병대교회', 'refId': 'CNTS_000000000021292'}, 'cate1cd': {'value': 'cate0000000002', 'label': '관광지', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000010', 'label': '문화관광', 'refId': 'cate0000000002>cate0000000010'}, 'cate3cd': {'value': 'cate0000001252', 'label': '문화재', 'refId': 'cate0000000010>cate0000001252'}, 'created': '20220216173312'}]",,"{'descseo': '강병대교회', 'photoid': {'photoid': 10984, 'imgpath': 'https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ee642f9e-b7a6-4a80-97c5-6b7c9e6d8014.jpg', 'thumbnailpath': 'https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/0813b284-d320-4377-a130-863702018535.jpg'}}",,
5,"친구,혼자,맑음,오름,자연경관,도보여행,도보",CONT_000000000500653,"{'value': 'c1', 'label': '관광지', 'refId': 'contentscd>c1'}",토산봉(망오름),"{'value': 'region2', 'label': '서귀포시', 'refId': 'region>region2'}","{'value': '26', 'label': '표선', 'refId': 'region2>26'}",제주특별자치도 서귀포시 표선면 토산리 산 13,제주특별자치도 서귀포시 표선면 토산리 산 13,"친구,혼자,맑음,오름,자연경관,도보여행,도보",토산리를 지켜주는 수호자,2187,0,0,1,0,0,0,,33.322395,126.77359,,064-787-3307,"???????표선면 토산리 토산초등학교에서 북쪽 약 900m지점에 위치한 오름으로, 일주도로변 토산2리에서 토산1리를 잇는 도로가 오름서측을 통과하고 있다. 조선시대에 오름에 봉수대가 있어서 서쪽으로 자배봉수, 동쪽으로 달산봉수와 교신했었다고 한다. 봉수대가 있어 속칭 망오름(망산)이라고도 하며, 오름 앞쪽을 망앞 뒷쪽을 망뒤라고 부른다. 토산봉은 낮으면서도 지형이 복잡하며, 등성마루가 숲에 덮힌채 평평하게 길며, 동쪽과 서쪽으로 벌어진 2개의 말굽형 화구로 이루어진 복합형 화산체이다. 오름은 전사면이 해송이 주종을 이루는 울창한 숲으로 덮여 있다. 토산봉이라는 이름은 오름의 형태가 토끼형국이라 붙여진 이름이라고 하며, 조선시대에 봉수대가 있어서 토산망 혹은 망오름 등으로 불리고 있다고 한다. ",20160530111636,20220714015935,"[{'seq': 30645, 'contentsid': {'value': 'CONT_000000000500653', 'label': '토산봉(망오름)', 'refId': 'CONT_000000000500653'}, 'cate1cd': {'value': 'cate0000000002', 'label': '관광지', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': '자연', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000035', 'label': '오름', 'refId': 'cate0000000009>cate0000000035'}, 'created': '20220420091013'}]",,"{'descseo': 'Tosanbong Volcanic Cone (Mang Oreum Volcanic Cone)', 'photoid': {'photoid': 20113, 'imgpath': 'https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/2bc1a3db-372b-4d69-9ebc-9c22358c46a3.jpg', 'thumbnailpath': 'https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/af0c6d3b-9c43-4709-8be2-438d5bb987d2.jpg'}}",,
6,"혼자,친구,맑음,경관/포토,휴식/힐링,액티비티,오름,사계절,자연경관,체험,도보여행,도보,레저/체험,포토스팟,어트랙션",CONT_000000000500194,"{'value': 'c1', 'label': '관광지', 'refId': 'contentscd>c1'}",모지오름,"{'value': 'region2', 'label': '서귀포시', 'refId': 'region>region2'}","{'value': '26', 'label': '표선', 'refId': 'region2>26'}",제주특별자치도 서귀포시 표선면 성읍리 산 22,제주특별자치도 서귀포시 표선면 성읍리 산 22,"혼자,친구,맑음,경관/포토,휴식/힐링,액티비티,오름,사계절,자연경관,체험,도보여행,도보,레저/체험,포토스팟,어트랙션",어머니가 아들을 안은 형체 모지오름,2467,1,2,2,1,0,0,5.0,33.393745,126.76842,,064-760-2913,"북동쪽으로 크게 벌어진 말굽형 화구안에는 화구구(알오름-표고 268m, 비고 13m)가 솟아있고,
이를 에워싼 등성마루가 마치 어린애를 품은 어머니의 모습을 보이면서 화구가 벌어진 동쪽방향으로
고분과 같이 보이는 크고 작은 봉우리가 구릉지대를 이루고 있으며, 이중 가장 높은 언덕을 오미동산이라 부른다.

오름 전사면은 삼나무가 조림되어 중턱까지 숲을 이루고,
화구안의 알오름과 정상부는 평평한 등성마루를 이루면서 완만한 풀밭을 이루고 있다.

어머니가 아기를 안은 형체라 하여 모지오름이라 부르고 있다.

화구구(火口丘) : 분화구 안에서 새로 생겨난 단성의 이중화산활동의 여운으로서,
화구 중앙부에 뾰족한 봉우리의 형태로 소위 `알오름`이라 부르는 것이다.",20160530111636,20220714020101,"[{'seq': 30874, 'contentsid': {'value': 'CONT_000000000500194', 'label': '모지오름', 'refId': 'CONT_000000000500194'}, 'cate1cd': {'value': 'cate0000000002', 'label': '관광지', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': '자연', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000035', 'label': '오름', 'refId': 'cate0000000009>cate0000000035'}, 'created': '20220519085044'}]",,"{'descseo': 'Moji Oreum Volcanic Cone', 'photoid': {'photoid': 17710, 'imgpath': 'https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1ce955b9-a8dd-4f54-bda1-eec9ce6c1096.jpg', 'thumbnailpath': 'https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/328fb40a-6044-4741-8a67-befbffbd1108.jpg'}}",1.0,
7,"커플,친구,혼자,맑음,오름,자연경관,도보여행,도보,유도 및 안내시설,아주 어려움",CONT_000000000500026,"{'value': 'c1', 'label': '관광지', 'refId': 'contentscd>c1'}",개오름,"{'value': 'region2', 'label': '서귀포시', 'refId': 'region>region2'}","{'value': '26', 'label': '표선', 'refId': 'region2>26'}",제주특별자치도 서귀포시 표선면 성읍리 2974,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,"커플,친구,혼자,맑음,오름,자연경관,도보여행,도보",모양이 개모양 같다고 하여 붙여진 개오름,4041,1,1,5,2,0,0,5.0,33.42347314801973,126.77172227409665,,064-787-1367,"산정부의 남쪽이 정상이고 북쪽은 봉긋한 모양으로 부풀어 올라있어 그 사이가 다소 우묵져 있고, 동서사면으로는 작은 골이 얕게 패여 있는 기생화산체이다. 남동사면에는 해송과 삼나무가 조림되어 있고, 그 외 지역은 풀밭을 이루면서 어린나무와 함께 술패랭이, 가시쑥부쟁이, 낭아초, 피뿌리풀 등이 식생하고 있다. 개오름의 유래에는 2가지 설이 있다. 오름모양이 개모양 같다하여 개오름이라 부른다는 이가 있는가하면 풍수지리의 형국설에서 나온 이름이라고 전해지기도 하며, 이 경우에 개오름은 한자로 狗岳(구악)이라고 표기하고 있다. 옛지도에는 蓋岳(개악)이라고 표기돼 있는데, 이에 따라 산모양이 蓋(개) 즉, 밥그릇 뚜껑, 혹은 양산처럼 생겼다는 풀이가 있다. 굼부리 형태로는 원추형이다.",20160530111636,20220714020113,"[{'seq': 31462, 'contentsid': {'value': 'CONT_000000000500026', 'label': '개오름', 'refId': 'CONT_000000000500026'}, 'cate1cd': {'value': 'cate0000000002', 'label': '관광지', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': '자연', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000035', 'label': '오름', 'refId': 'cate0000000009>cate0000000035'}, 'created': '20220705095814'}]",,"{'descseo': '개오름', 'photoid': {'photoid': 2019022594700, 'imgpath': 'https://api.cdn.visitjeju.net/photomng/imgpath/202112/16/b5894ad7-b221-41f6-aad4-1d2d4312cd74.JPG', 'thumbnailpath': 'https://api.cdn.visitjeju.net/photomng/thumbnailpath/202112/16/34e2f654-5f22-4473-b83d-b5c72889713b.JPG'}}",1.0,
8,"포구,해변,문화유적지",CNTS_000000000020935,"{'value': 'c1', 'label': '관광지', 'refId': 'contentscd>c1'}",동일리포구,"{'value': 'region2', 'label': '서귀포시', 'refId': 'region>region2'}","{'value': '22', 'label': '대정', 'refId': 'region2>22'}",제주특별자치도 서귀포시 대정읍 동일리,제주특별자치도 서귀포시 대정읍 동일리,"포구,해변,문화유적지,자연경관,역사유적",정겨움 가득한 마을과 동일리포구,2198,0,1,3,0,0,0,5.0,33.225437,126.24133,,--,"유서 깊은 마을과 운치가 있는 동일리포구를 산책하기

동일리포구는 소규모 어항으로 분류되어있으며 동일리는 옛날엔 날 외라고 불리었다고 한다.
소금을 만드는 염전 터가 전해 내려오며 역사유적과 함께 유서 깊은 마을이라고 알려진다.

동일리 포구에는 용천수가 있는데 예전에 동일리 남쪽 일대는 수많은 용천수가 솟아나는 홍 물이었다고 하지만,
현재는 말라있거나 식수로는 사용이 되지 않는다.

돌담들과 밭을 보며 정겨운 마을을 구경할 수 있고 마을 안에 마련되어 있는 쉼터에서 잠시 쉬다가 갈 수도 있다.",20161213191613,20220714020117,"[{'seq': 28266, 'contentsid': {'value': 'CNTS_000000000020935', 'label': '동일리포구', 'refId': 'CNTS_000000000020935'}, 'cate1cd': {'value': 'cate0000000002', 'label': '관광지', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': '자연', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000037', 'label': '해변', 'refId': 'cate0000000009>cate0000000037'}, 'created': '20211221104815'}]",,"{'descseo': '동일리포구', 'photoid': {'photoid': 10217, 'imgpath': 'https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/42db019e-2074-4c09-8073-91ee20e9ec0c.jpg', 'thumbnailpath': 'https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/338f6b14-935e-45cc-b93f-46f925e17d58.jpg'}}",3.0,
9,"문화유적지,흐림,겨울,자연경관,문화관광,역사유적,공용주차장,화장실,유도 및 안내시설,아주 어려움",CONT_000000000500138,"{'value': 'c1', 'label': '관광지', 'refId': 'contentscd>c1'}",대정향교,"{'value': 'region2', 'label': '서귀포시', 'refId': 'region>region2'}","{'value': '23', 'label': '안덕', 'refId': 'region2>23'}",제주특별자치도 서귀포시 안덕면 사계리 3126-1,제주특별자치도 서귀포시 안덕면 향교로 165-17,"문화유적지,흐림,겨울,자연경관,문화관광,역사유적",서귀포시 안덕면 사계리에 있는 조선시대의 향교,6689,0,1,10,2,0,0,5.0,33.23958,126.2884,63528,064-794-7944,"?향교는 공자를 비롯한 여러 성현께 제사를 지내며, 지방 백성의 교육과 교화를 위하여 세운 국립교육기관을 가리킨다. 대정향교는 조선 태종 16년(1416)에 세웠는데 이후 터가 좋지 않다하여 여러 차례 옮기다가 효종 4년(1653)에 지금 있는 자리로 옮겼다. 영조 48년(1772)에는 명륜당을, 헌종 원년(1834)에는 대성전을 다시 지었다. 추사 김정희가 유배생활을 할 때 이곳에서 학생들을 가르치기도 했다고 전한다. 앞쪽에 강학공간인 명륜당이 북향하여 자리잡고, 뒤쪽에 제향공간인 대성전이 남쪽을 향하여 자리잡고 있는 전학후묘의 배치를 이루고 있다. 지금 남아 있는 건물로는 대성전과 명륜당, 동재, 서재, 내삼문 등이 있다. 조선시대에는 나라로부터 토지와 노비·책 등을 지급받아 운영하였다. 지금은 교육적 기능은 없어지고 제사 기능만 남아있으며, 1948년부터는 문명학원을 설립하여 운영하고 있다. 『대정향교절목』등의 책이 남아있는데 유교경전이 대부분을 이루고 있다. 대정향교는 많은 보수로 인하여 본래의 모습을 드러내지 못하지만 장식이 검소하고 단청을 하지 않아 전체적으로 간결한 느낌을 준다. 주위에 큰 소나무가 있어 운치를 더한다. ",20160530111636,20220714020139,"[{'seq': 30605, 'contentsid': {'value': 'CONT_000000000500138', 'label': '대정향교', 'refId': 'CONT_000000000500138'}, 'cate1cd': {'value': 'cate0000000002', 'label': '관광지', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000010', 'label': '문화관광', 'refId': 'cate0000000002>cate0000000010'}, 'cate3cd': {'value': 'cate0000001252', 'label': '문화재', 'refId': 'cate0000000010>cate0000001252'}, 'created': '20220407091345'}]",,"{'descseo': '대정향교', 'photoid': {'photoid': 2019022594955, 'imgpath': 'https://api.cdn.visitjeju.net/photomng/imgpath/202112/20/255bbc57-b713-4b54-9143-4ed92e9d7961.jpg', 'thumbnailpath': 'https://api.cdn.visitjeju.net/photomng/thumbnailpath/202112/20/bdc8e621-1118-44b4-aa4e-77aed39c14a8.jpg'}}",2.0,
