기준년월,외국인방문자(c),외부방문자(b+c),외지인방문자(b),전체방문자(a+b+c),현지인방문자(a)
20180701,12339.0,126320.0,113981.0,558717.0,432397.0
20180702,10928.0,114602.0,103674.0,570200.0,455598.0
20180703,10417.0,115634.0,105217.0,569903.0,454268.0
20180704,10238.0,129459.0,119220.0,601175.0,471716.0
20180705,11217.0,139919.0,128702.0,605101.0,465182.0
20180706,11578.0,146290.0,134712.0,604888.0,458598.0
20180707,11658.0,153188.0,141530.0,607414.0,454226.0
20180708,15144.0,157363.0,142219.0,595101.0,437738.0
20180709,11273.0,151830.0,140556.0,612479.0,460649.0
20180710,13040.0,154335.0,141295.0,619769.0,465434.0
20180711,12288.0,159421.0,147133.0,626692.0,467271.0
20180712,12423.0,165989.0,153566.0,633571.0,467582.0
20180713,12527.0,169457.0,156930.0,641796.0,472339.0
20180714,14172.0,174720.0,160548.0,635884.0,461164.0
20180715,13692.0,170506.0,156814.0,618401.0,447895.0
20180716,13934.0,166443.0,152509.0,630918.0,464474.0
20180717,13934.0,165915.0,151980.0,635576.0,469662.0
20180718,13113.0,165423.0,152310.0,634300.0,468878.0
20180719,15258.0,168726.0,153468.0,636210.0,467484.0
20180720,13839.0,167535.0,153696.0,639814.0,472280.0
20180721,18425.0,177455.0,159030.0,635983.0,458528.0
20180722,21689.0,178045.0,156356.0,616843.0,438798.0
20180723,14476.0,165848.0,151372.0,625058.0,459210.0
20180724,14559.0,166511.0,151952.0,629897.0,463386.0
20180725,14096.0,170542.0,156446.0,638163.0,467621.0
20180726,14583.0,175019.0,160436.0,639669.0,464650.0
20180727,15797.0,185011.0,169214.0,653101.0,468090.0
20180728,16378.0,197297.0,180918.0,650239.0,452942.0
20180729,16443.0,204760.0,188318.0,645375.0,440615.0
20180730,15766.0,208840.0,193074.0,663003.0,454164.0
20180731,14414.0,213886.0,199472.0,672221.0,458336.0
20180801,14949.0,188287.0,173338.0,645254.0,456967.0
20180802,15380.0,193229.0,177849.0,646181.0,452952.0
20180803,16911.0,196513.0,179602.0,651191.0,454678.0
20180804,16192.0,197264.0,181072.0,648236.0,450972.0
20180805,15284.0,189836.0,174552.0,631718.0,441882.0
20180806,15478.0,185774.0,170296.0,639696.0,453922.0
20180807,15095.0,182013.0,166918.0,639995.0,457982.0
20180808,14581.0,180387.0,165806.0,640553.0,460166.0
20180809,15192.0,179759.0,164566.0,638822.0,459064.0
20180810,15305.0,183683.0,168378.0,650065.0,466382.0
20180811,16032.0,189205.0,173173.0,650680.0,461475.0
20180812,16864.0,187370.0,170506.0,626200.0,438830.0
20180813,15961.0,184619.0,168658.0,636368.0,451748.0
20180814,14663.0,187966.0,173302.0,650533.0,462567.0
20180815,16496.0,189487.0,172991.0,634211.0,444724.0
